,País,Profissionais de enfermagem - Total,Profissionais de enfermagem a cada 10k habitantes,Médicos - Total,Médicos a cada 10k habitantes
163,Spain,267266,57.3,180633,38.72
164,Sri Lanka,46286,21.8,21316,10.04
165,Sudan,28372,6.95,10683,2.62
166,Suriname,1588,27.57,697,12.1
167,Sweden,117040,118.16,39187,39.84
168,Switzerland,148278,175.36,36324,42.96
169,Syrian Arab Republic,26908,15.41,22485,12.87
170,Tajikistan,39229,47.53,17352,21.03
171,Thailand,191575,27.59,55890,8.05
172,Timor-Leste,2115,16.68,916,7.22
173,Togo,3236,4.1,611,0.77
174,Tonga,429,41.57,55,5.4
175,Trinidad and Tobago,5689,40.93,5792,41.68
176,Tunisia,28739,25.14,14892,13.02
177,Turkey,219883,27.11,149997,18.49
178,Turkmenistan,24201,44.27,12161,22.25
179,Tuvalu,49,42.61,-,-
180,Uganda,52907,12.38,6918,1.68
181,Ukraine,300489,66.61,134986,29.92
182,United Arab Emirates,55158,57.27,24345,25.28
183,United Kingdom of Great Britain and Northern Ireland,548700,81.72,188783,28.12
184,United Republic of Tanzania,31940,5.84,742,0.14
185,United States of America,4729338,145.48,849126,26.12
186,Uruguay,6671,19.41,17456,50.79
187,Uzbekistan,343223,112.8,72237,23.74
188,Vanuatu,417,14.25,46,1.65
189,Venezuela (Bolivarian Republic of),27200,9.42,48000,19.48
190,Viet Nam,135432,14.46,77539,8.28
191,Yemen,22377,7.85,13560,5.25
192,Zambia,23210,13.38,20591,11.87
193,Zimbabwe,27934,19.35,3026,2.1
