OBJECTID,GR,Nome_Estado,Codigo_Municipio,Nome_municipio,Pop_Total,Leitos_UTI_Total,Leitos_UTI_100mil_hab_Ind,Leitos_UTI_SUS_Total,Leitos_UTI_SUS_100mil_hab_Ind,Shape__Area,Shape__Length
4702,Sudeste,Minas Gerais,3162450,São João das Missões,13014,0,0,0,0,0.0569682890168224,1.40854190853814
4703,Sudeste,São Paulo,3549250,São João de Iracema,1922,0,0,0,0,0.0154496108284548,0.672163012606753
4704,Sudeste,Rio de Janeiro,3305109,São João de Meriti,472406,17,3.59859950974374,10,2.11682324102573,0.00309687040589779,0.235789058509772
4705,Norte,Pará,1507474,São João de Pirabas,23045,0,0,0,0,0.0573241185589417,1.95516724076548
4706,Sudeste,Minas Gerais,3162500,São João del Rei,90082,20,22.2019937390378,20,22.2019937390378,0.12635622523095,2.63038188845681
4707,Norte,Pará,1507508,São João do Araguaia,13996,0,0,0,0,0.104438045744757,1.93249488915016
4708,Nordeste,Piauí,2209971,São João do Arraial,7989,0,0,0,0,0.0173706650707857,0.592042047185997
4709,Sul,Paraná,4124905,São João do Caiuá,5855,0,0,0,0,0.0267804422230711,0.753332093959698
4710,Nordeste,Paraíba,2514008,São João do Cariri,4199,0,0,0,0,0.0534968773162063,1.20367517716246
4711,Nordeste,Maranhão,2111029,São João do Carú,15808,0,0,0,0,0.073909226267304,2.32387254178248
4712,Sul,Santa Catarina,4216354,São João do Itaperiú,3733,0,0,0,0,0.0137197009622696,0.60304755654469
4713,Sul,Paraná,4125001,São João do Ivaí,10219,0,0,0,0,0.0313501413361337,1.12420186283643
4714,Nordeste,Ceará,2312502,São João do Jaguaribe,7645,0,0,0,0,0.0228804985712259,0.765601236731679
4715,Sudeste,Minas Gerais,3162559,São João do Manhuaçu,11559,0,0,0,0,0.0123805955264515,0.580798398535489
4716,Sudeste,Minas Gerais,3162575,São João do Manteninha,5859,0,0,0,0,0.0118170892462217,0.550166286330857
4717,Sul,Santa Catarina,4216255,São João do Oeste,6381,0,0,0,0,0.0148606859908114,0.694852614977516
4718,Sudeste,Minas Gerais,3162609,São João do Oriente,7498,0,0,0,0,0.0103281581178862,0.586447074567214
4719,Sudeste,Minas Gerais,3162658,São João do Pacuí,4419,0,0,0,0,0.0352128904489177,1.08493315191886
4720,Nordeste,Maranhão,2111052,São João do Paraíso,11177,0,0,0,0,0.167895450031722,2.79180608749387
4721,Sudeste,Minas Gerais,3162708,São João do Paraíso,23618,0,0,0,0,0.162065310528305,2.65689921635018
4722,Sudeste,São Paulo,3549300,São João do Pau d'Alho,2105,0,0,0,0,0.0102367079966825,0.480831346791791
4723,Nordeste,Piauí,2210003,São João do Piauí,20601,0,0,0,0,0.125394322284961,2.43147898649884
4724,Sul,Rio Grande do Sul,4318432,São João do Polêsine,2552,0,0,0,0,0.00728780235806425,0.498335166128319
4725,Nordeste,Paraíba,2500700,São João do Rio do Peixe,18034,0,0,0,0,0.0387482383458604,1.28921656606051
4726,Nordeste,Rio Grande do Norte,2412104,São João do Sabugi,6193,0,0,0,0,0.0226548982284811,0.763190556756319
4727,Nordeste,Maranhão,2111078,São João do Soter,18543,0,0,0,0,0.117270168281209,1.69579294813319
4728,Sul,Santa Catarina,4216404,São João do Sul,7297,0,0,0,0,0.0170113724974499,0.878033566426689
4729,Nordeste,Paraíba,2514107,São João do Tigre,4422,0,0,0,0,0.0669508354651782,1.42631605644212
4730,Sul,Paraná,4125100,São João do Triunfo,15120,0,0,0,0,0.0647724062174575,1.77337861541098
4731,Nordeste,Maranhão,2111102,São João dos Patos,25929,0,0,0,0,0.121224956086508,1.80209045467711
4732,Sudeste,Minas Gerais,3162807,São João Evangelista,15774,0,0,0,0,0.0409129676347106,1.2457220364634
4733,Sudeste,Minas Gerais,3162906,São João Nepomuceno,26361,0,0,0,0,0.0355310558528004,1.33187962489861
4734,Sul,Santa Catarina,4216503,São Joaquim,26952,0,0,0,0,0.174069097297092,3.68582751146415
4735,Sudeste,São Paulo,3549409,São Joaquim da Barra,51888,8,15.4178230033919,8,15.4178230033919,0.0355885704565253,1.18057900254429
4736,Sudeste,Minas Gerais,3162922,São Joaquim de Bicas,31578,0,0,0,0,0.00619685878041309,0.482478327309375
4737,Nordeste,Pernambuco,2613305,São Joaquim do Monte,21356,0,0,0,0,0.0190551953367049,0.859202876410629
4738,Sul,Rio Grande do Sul,4318440,São Jorge,2824,0,0,0,0,0.0108800326132723,0.694846534654251
4739,Sul,Paraná,4125209,São Jorge d'Oeste,9050,0,0,0,0,0.0341212555997572,1.4310914416503
4740,Sul,Paraná,4125308,São Jorge do Ivaí,5551,0,0,0,0,0.0278403724583995,0.930139115718217
4741,Sul,Paraná,4125357,São Jorge do Patrocínio,5641,0,0,0,0,0.0358382407971476,0.939901604579688
4742,Sul,Santa Catarina,4216602,São José,246586,53,21.4935154469435,33,13.3827549009271,0.0137502025590948,0.659735792300437
4743,Sudeste,Minas Gerais,3162948,São José da Barra,7426,0,0,0,0,0.0272551134562491,0.88986492426127
4744,Sudeste,São Paulo,3549508,São José da Bela Vista,8928,0,0,0,0,0.0239950069607175,0.908473356905829
4745,Sul,Paraná,4125407,São José da Boa Vista,6206,0,0,0,0,0.0354523219033354,1.33166535597876
4746,Nordeste,Pernambuco,2613404,São José da Coroa Grande,21298,0,0,0,0,0.00569969240726209,0.376124693213111
4747,Nordeste,Paraíba,2514206,São José da Lagoa Tapada,7630,0,0,0,0,0.0279683217540594,0.756810322093034
4748,Nordeste,Alagoas,2708303,São José da Laje,23927,0,0,0,0,0.0211016931038444,0.730788346951185
4749,Sudeste,Minas Gerais,3162955,São José da Lapa,23766,0,0,0,0,0.00412954054769443,0.39801272772345
4750,Sudeste,Minas Gerais,3163003,São José da Safira,4268,0,0,0,0,0.0182791163942966,0.94857968490558
4751,Nordeste,Alagoas,2708402,São José da Tapera,32260,0,0,0,0,0.0407210351580716,1.05542224010258
4752,Sudeste,Minas Gerais,3163102,São José da Varginha,5004,0,0,0,0,0.017705583795248,0.776244837274449
4753,Nordeste,Bahia,2929354,São José da Vitória,5657,0,0,0,0,0.0107533343763748,0.53730405213151
4754,Sul,Rio Grande do Sul,4318457,São José das Missões,2537,0,0,0,0,0.00898024986474866,0.594998891742279
4755,Sul,Paraná,4125456,São José das Palmeiras,3654,0,0,0,0,0.0162890964477356,0.665868636768438
4756,Nordeste,Paraíba,2514305,São José de Caiana,6359,0,0,0,0,0.0144375886201829,0.647380922251341
4757,Nordeste,Paraíba,2514404,São José de Espinharas,4682,0,0,0,0,0.0593611083336327,1.10053702161399
4758,Nordeste,Rio Grande do Norte,2412203,São José de Mipibu,43899,0,0,0,0,0.0237158978521137,0.911017972982827
4759,Nordeste,Paraíba,2514503,São José de Piranhas,20251,0,0,0,0,0.0554385356865339,1.25939177646017
4760,Nordeste,Paraíba,2514552,São José de Princesa,4003,0,0,0,0,0.0129517586493932,0.734994563976501
4761,Nordeste,Maranhão,2111201,São José de Ribamar,177687,20,11.2557474660499,0,0,0.0313717523381243,1.22733282569234
4762,Sudeste,Rio de Janeiro,3305133,São José de Ubá,7171,0,0,0,0,0.0217439486912667,0.866865086858342
4763,Sudeste,Minas Gerais,3163201,São José do Alegre,4196,0,0,0,0,0.00778343832627115,0.548985565868911
4764,Sudeste,São Paulo,3549607,São José do Barreiro,4147,0,0,0,0,0.0501733132147137,1.55051376714409
