OBJECTID,Codigo_Municipio,GR,Nome_Estado,Nome_municipio,Pop_Total,Total_Enfermeiros,Enfermeiros_SUS,Enfermeiros_100mil_hab_Ind,Enfermeiros_SUS_100mil_hab_Ind,Shape__Area,Shape__Length
159,4128625,Sul,Paraná,Alto Paraíso,2741,4,4,145.932141554177,145.932141554177,1156707532.34082,146453.239265386
160,5200605,Centro-Oeste,Goiás,Alto Paraíso de Goiás,7624,8,8,104.931794333683,104.931794333683,2775985589.08936,359897.993442036
161,4100608,Sul,Paraná,Alto Paraná,14770,7,7,47.39336492891,47.39336492891,483975910.481445,117625.954854646
162,2100501,Nordeste,Maranhão,Alto Parnaíba,11190,8,8,71.4924039320822,71.4924039320822,11517880740.6855,569296.863192772
163,4100707,Sul,Paraná,Alto Piquiri,9836,7,7,71.1671411142741,71.1671411142741,539643109.426758,114951.634701825
164,3102100,Sudeste,Minas Gerais,Alto Rio Doce,11000,9,9,81.8181818181818,81.8181818181818,597649766.894531,168720.305220676
165,3200359,Sudeste,Espírito Santo,Alto Rio Novo,7836,6,6,76.5696784073507,76.5696784073507,256025365.569336,103904.884472503
166,2300705,Nordeste,Ceará,Alto Santo,17146,15,15,87.4839612737665,87.4839612737665,1359629844.17041,204664.232616745
167,5100607,Centro-Oeste,Mato Grosso,Alto Taquari,10847,11,10,101.410528256661,92.1913893242371,1598058172.50586,280149.595179347
168,4100509,Sul,Paraná,Altônia,22056,15,15,68.0087051142546,68.0087051142546,795087980.533203,146974.073381918
169,2200400,Nordeste,Piauí,Altos,40524,46,46,113.512979962491,113.512979962491,971431815.212891,132535.419386784
170,3501152,Sudeste,São Paulo,Alumínio,18628,13,13,69.7874167919261,69.7874167919261,99983871.5859375,58826.9333831565
171,1300029,Norte,Amazonas,Alvarães,16041,16,16,99.7444049622842,99.7444049622842,5988055902.29028,549952.821068017
172,3102209,Sudeste,Minas Gerais,Alvarenga,3907,6,6,153.570514461223,153.570514461223,314391822.049805,110960.170596971
173,3501202,Sudeste,São Paulo,Álvares Florence,3679,5,5,135.906496330525,135.906496330525,414055503.81543,117471.429795479
174,3501301,Sudeste,São Paulo,Álvares Machado,24915,21,21,84.2865743527995,84.2865743527995,407105068.056641,122147.719734328
175,3501400,Sudeste,São Paulo,Álvaro de Carvalho,5227,5,5,95.6571647216377,95.6571647216377,179829529.419922,78572.2289991637
176,3501509,Sudeste,São Paulo,Alvinlândia,3222,2,2,62.0732464307883,62.0732464307883,99848312.2548828,54787.7334957731
177,3102308,Sudeste,Minas Gerais,Alvinópolis,15203,13,13,85.5094389265277,85.5094389265277,683321287.610352,159901.08789342
178,1700707,Norte,Tocantins,Alvorada,8412,14,14,166.42891107941,166.42891107941,1278624719.18359,209764.147548895
179,4300604,Sul,Rio Grande do Sul,Alvorada,210305,95,92,45.1724875775659,43.7459879698533,95393076.7441406,60598.6595078479
180,1100346,Norte,Rondônia,Alvorada D'Oeste,14411,10,10,69.3914370966623,69.3914370966623,3170012949.52686,448230.300716026
181,3102407,Sudeste,Minas Gerais,Alvorada de Minas,3606,6,6,166.389351081531,166.389351081531,419478474.740234,129228.569401711
182,2200459,Nordeste,Piauí,Alvorada do Gurguéia,5419,3,3,55.3607676693117,55.3607676693117,2193133463.05322,244881.390255863
183,5200803,Centro-Oeste,Goiás,Alvorada do Norte,8660,7,6,80.8314087759815,69.284064665127,1352322609.9751,314683.33881763
184,4100806,Sul,Paraná,Alvorada do Sul,11406,14,14,122.742416272137,122.742416272137,501649050.287109,132142.892936172
185,1400027,Norte,Roraima,Amajari,12796,24,24,187.558612066271,187.558612066271,28785131896.9563,1600449.04903618
186,5000609,Centro-Oeste,Mato Grosso do Sul,Amambai,39396,33,30,83.7648492232714,76.1498629302467,4994336130.60645,387111.054084914
187,1600105,Norte,Amapá,Amapá,9109,7,7,76.847074322099,76.847074322099,9238237318.91675,724580.857111577
188,2100550,Nordeste,Maranhão,Amapá do Maranhão,6962,6,6,86.1821315713875,86.1821315713875,506222880.373413,101922.883452174
189,4100905,Sul,Paraná,Amaporã,6257,7,7,111.874700335624,111.874700335624,457046904.78125,106474.381913757
190,2600906,Nordeste,Pernambuco,Amaraji,22829,18,18,78.847080467826,78.847080467826,241586161.218262,72491.652101926
191,4300638,Sul,Rio Grande do Sul,Amaral Ferrador,7031,4,4,56.8909116768596,56.8909116768596,688783526.523438,172788.99508477
192,5200829,Centro-Oeste,Goiás,Amaralina,3812,6,6,157.397691500525,157.397691500525,1433302075.65771,343931.210466506
193,2200509,Nordeste,Piauí,Amarante,17598,17,17,96.6018865780202,96.6018865780202,1177300153.80591,212902.657216933
194,2100600,Nordeste,Maranhão,Amarante do Maranhão,41435,43,43,103.777000120671,103.777000120671,7551650760.63037,466480.340514779
195,2901007,Nordeste,Bahia,Amargosa,37241,38,38,102.03807631374,102.03807631374,457583366.171387,134288.779150066
196,1300060,Norte,Amazonas,Amaturá,11536,19,19,164.701803051318,164.701803051318,4803042510.6709,405412.736463914
197,2901106,Nordeste,Bahia,Amélia Rodrigues,25102,15,15,59.7561947255199,59.7561947255199,183011383.207031,66516.3020437837
198,2901155,Nordeste,Bahia,América Dourada,16094,13,13,80.7754442649435,80.7754442649435,861165316.757324,165666.252753792
199,3501608,Sudeste,São Paulo,Americana,239597,264,119,110.185019011089,49.6667320542411,158142357.134766,77368.2076565202
200,5200852,Centro-Oeste,Goiás,Americano do Brasil,6111,3,3,49.0918016691213,49.0918016691213,145749959.217773,90602.9021959094
201,3501707,Sudeste,São Paulo,Américo Brasiliense,40504,103,99,254.295872012641,244.42030416749,142970886.066406,67151.3540607692
202,3501806,Sudeste,São Paulo,Américo de Campos,5969,6,6,100.51934997487,100.51934997487,288910109.283203,116799.654488506
203,4300646,Sul,Rio Grande do Sul,Ametista do Sul,7409,4,4,53.9883924956134,53.9883924956134,118996635.851563,74473.9547695221
204,2300754,Nordeste,Ceará,Amontada,43452,27,27,62.1375310687655,62.1375310687655,1190743638.53687,187587.779631942
205,5200902,Centro-Oeste,Goiás,Amorinópolis,3126,3,3,95.9692898272553,95.9692898272553,447463072.145508,135282.677764907
206,2500734,Nordeste,Paraíba,Amparo,2238,3,3,134.048257372654,134.048257372654,124940718.292236,50704.200733798
207,3501905,Sudeste,São Paulo,Amparo,72195,129,107,178.682734261375,148.209709813699,525717575.818359,143932.431427792
