Município,UTI adulto II COVID-19,UTI pediátrica II COVID-19,Unidade intermediária neonatal,Unidade isolamento,UTI adulto I,UTI adulto II,UTI adulto III,UTI pediátrica I,UTI pediátrica II,UTI pediátrica III,UTI neonatal I,UTI neonatal II,UTI neonatal III,UTI de Queimados,UTI coronariana tipo II -UCO tipo II,UTI coronariana tipo III - UCO tipo III,Unidade de cuidados intermed neonatal convencional,Unidade de cuidados intermed neonatal canguru,Unidade de cuidados intermed pediatrico,Unidade de cuidados intermed adulto,Total
316300 São José da Safira,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
316310 São José da Varginha,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
316320 São José do Alegre,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
316330 São José do Divino,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
316340 São José do Goiabal,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
316350 São José do Jacuri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
316360 São José do Mantimento,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
316370 São Lourenço,-,-,-,-,-,10,-,-,-,-,-,10,-,-,-,-,-,-,-,-,20
316380 São Miguel do Anta,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
316390 São Pedro da União,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
316410 São Pedro do Suaçuí,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
316400 São Pedro dos Ferros,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
316420 São Romão,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
316430 São Roque de Minas,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
