OBJECTID,Codigo_Municipio,Nome_municipio,Nome_Estado,GR,Pop_Total,Total_Medicos,Medicos_SUS,Medicos_100mil_hab_Ind,Medicos_SUS_100mil_hab_Ind,Shape__Area,Shape__Length
415,3104601,Astolfo Dutra,Minas Gerais,Sudeste,14179,13,5,91.6848860991607,35.2634177304464,0.0138317793217198,0.731720231548186
416,4102109,Astorga,Paraná,Sul,26111,31,25,118.723909463445,95.7450882769714,0.0383647960276221,1.27604990829736
417,2700409,Atalaia,Alagoas,Nordeste,47185,23,23,48.7443043340045,48.7443043340044,0.0439093769416843,0.942067960550723
418,4102208,Atalaia,Paraná,Sul,3892,6,6,154.162384378212,154.162384378212,0.0121362495684707,0.693144932342011
419,1300201,Atalaia do Norte,Amazonas,Norte,19921,6,6,30.1189699312283,30.1189699312284,6.24032143446948,17.7305789694084
420,4201802,Atalanta,Santa Catarina,Sul,3210,2,2,62.3052959501558,62.3052959501558,0.00859758922649689,0.424964258738775
421,3104700,Ataléia,Minas Gerais,Sudeste,12868,8,8,62.1697233447311,62.1697233447311,0.156856649085398,3.06814151956472
422,3504107,Atibaia,São Paulo,Sudeste,142761,734,282,514.146020271643,197.532939668397,0.0421842196903981,1.35711163403319
423,3200706,Atílio Vivacqua,Espírito Santo,Sudeste,11936,15,15,125.670241286863,125.670241286863,0.0202245536402756,0.830623842524536
424,1702554,Augustinópolis,Tocantins,Norte,18412,70,68,380.186834673039,369.324353682381,0.0322326704535385,1.20178170727777
425,1500909,Augusto Corrêa,Pará,Norte,45998,19,19,41.3061437453802,41.3061437453802,0.0886935052900313,2.67556603601431
426,3104809,Augusto de Lima,Minas Gerais,Sudeste,4869,2,2,41.0761963442185,41.0761963442185,0.107117656842036,1.93682224930064
427,4301503,Augusto Pestana,Rio Grande do Sul,Sul,6661,8,7,120.102086773758,105.089325927038,0.0320569165411371,1.29594167780338
428,2401305,Augusto Severo,Rio Grande do Norte,Nordeste,9655,2,2,20.7146556188503,20.7146556188503,0.0732450553453958,1.39856997496959
429,4301552,Áurea,Rio Grande do Sul,Sul,3554,5,5,140.686550365785,140.686550365785,0.0144833941371871,0.794855459865881
430,2902401,Aurelino Leal,Bahia,Nordeste,11531,8,8,69.3781979013095,69.3781979013095,0.0373204366164828,1.45743246240156
431,3504206,Auriflama,São Paulo,Sudeste,15189,22,21,144.841661728883,138.257949832115,0.0376583231135328,1.04026615937652
432,5202601,Aurilândia,Goiás,Centro-Oeste,3120,1,1,32.0512820512821,32.0512820512821,0.0478969362486055,1.40403889110736
433,2301703,Aurora,Ceará,Nordeste,24654,16,16,64.8981909629269,64.8981909629269,0.0724904466089242,1.39830465805013
434,4201901,Aurora,Santa Catarina,Sul,5679,2,2,35.2174678640606,35.2174678640606,0.0188410510473886,0.682726024379148
435,1500958,Aurora do Pará,Pará,Norte,31338,9,9,28.7191269385411,28.7191269385411,0.147304721285771,2.54508768697726
436,1702703,Aurora do Tocantins,Tocantins,Norte,3757,2,2,53.2339632685654,53.2339632685653,0.0626400279101631,1.89248287108582
437,1300300,Autazes,Amazonas,Norte,39565,15,15,37.9122962214078,37.9122962214078,0.623049484494274,5.76574439827887
438,3504305,Avaí,São Paulo,Sudeste,5403,2,2,37.0164723301869,37.0164723301869,0.0473480914026823,1.15887040407078
439,3504404,Avanhandava,São Paulo,Sudeste,13649,6,6,43.9592644149755,43.9592644149755,0.0294844281125961,0.984501766300694
440,3504503,Avaré,São Paulo,Sudeste,90655,171,151,188.627213060504,166.565550714246,0.106900277649288,1.85327643231953
441,1501006,Aveiro,Pará,Norte,16388,6,6,36.6121552355382,36.6121552355382,1.38994862867717,7.08910942280684
442,2201101,Avelino Lopes,Piauí,Nordeste,11289,7,7,62.0072637080344,62.0072637080344,0.107708997271061,1.60457012688935
443,5202809,Avelinópolis,Goiás,Centro-Oeste,2417,1,1,41.3736036408771,41.3736036408771,0.0147465917215186,0.639961113786902
444,2101103,Axixá,Maranhão,Nordeste,12130,4,4,32.9760923330585,32.9760923330585,0.0165239096074785,0.740390859423861
445,1702901,Axixá do Tocantins,Tocantins,Norte,9756,4,4,41.0004100041,41.0004100041,0.0122615706816873,0.601615492466575
446,1703008,Babaçulândia,Tocantins,Norte,10664,2,2,18.754688672168,18.754688672168,0.146413683450987,2.17636500035893
447,2101202,Bacabal,Maranhão,Nordeste,104949,115,109,109.577032653956,103.859970080706,0.137087903850585,2.68078885580324
448,2101251,Bacabeira,Maranhão,Nordeste,17055,4,4,23.4535326883612,23.4535326883612,0.0500747615598058,1.12770798755138
449,2101301,Bacuri,Maranhão,Nordeste,18582,4,4,21.5262081584329,21.5262081584329,0.0669482595584512,1.79304115043128
450,2101350,Bacurituba,Maranhão,Nordeste,5644,2,2,35.4358610914245,35.4358610914245,0.054857311525943,1.23972199732587
451,3504602,Bady Bassitt,São Paulo,Sudeste,17502,43,43,245.686207290595,245.686207290595,0.00958382836688543,0.485083024829635
452,3104908,Baependi,Minas Gerais,Sudeste,19148,59,57,308.126175057447,297.681219970754,0.065648559964643,1.61080118672177
453,4301602,Bagé,Rio Grande do Sul,Sul,121143,187,162,154.3630255153,133.726257398281,0.387554511443568,5.60192768402029
454,1501105,Bagre,Pará,Norte,30673,6,6,19.5611775828905,19.5611775828905,0.357547640264379,3.81836510130615
455,2501401,Baía da Traição,Paraíba,Nordeste,8993,6,6,66.7185588791282,66.7185588791282,0.00836122599731937,0.410348636272745
456,2401404,Baía Formosa,Rio Grande do Norte,Nordeste,9271,6,6,64.7179376550534,64.7179376550534,0.0200809143992728,0.700089129042482
